label,rep,seed,actual_seed,n_elig,rate_1yr,rate_3yr,rate_6yr,rate_9yr,gamma_loss,offense_loss,ci95_lo_1yr,ci95_hi_1yr,ci95_halfwidth_1yr,ci95_lo_3yr,ci95_hi_3yr,ci95_halfwidth_3yr,ci95_lo_6yr,ci95_hi_6yr,ci95_halfwidth_6yr,ci95_lo_9yr,ci95_hi_9yr,ci95_halfwidth_9yr,tier_3yr_Low,share_Low,tier_3yr_LowModerate,share_LowModerate,tier_3yr_Moderate,share_Moderate,tier_3yr_High,share_High,off_Violent_3yr,off_Violent_6yr,off_Violent_9yr,off_Drug_3yr,off_Drug_6yr,off_Drug_9yr,off_Property_3yr,off_Property_6yr,off_Property_9yr,off_Other(PublicOrder)_3yr,off_Other(PublicOrder)_6yr,off_Other(PublicOrder)_9yr
baseline,0,42,42,16161,0.376,0.66,0.782,0.81,0.14203020950068018,0.028456987364207598,0.3687140600724352,0.3836497366751927,0.00746783830137876,0.6523321152259091,0.6669410411531796,0.007304462963635294,0.7752611363075108,0.7879983267484092,0.006368595220449191,0.8039777475098865,0.816071631755296,0.006046942122704735,0.6439812845597618,0.29094734236742775,0.6710114702815433,0.3560423241136068,0.6670119109269809,0.2389703607450034,0.6489419424850786,0.11403997277396201,0.6615581098339719,0.7586206896551724,0.7812899106002554,0.6692477876106194,0.7859513274336283,0.8100110619469026,0.6576634169729902,0.7896755633690267,0.8192424484577273,0.6508238276299113,0.7839036755386565,0.820659062103929
baseline,0,137,137,16115,0.38,0.663,0.788,0.817,0.140052746211125,0.02510767707876746,0.3723683154418221,0.38735387203844945,0.007492778298313685,0.6554613829950506,0.6700582871033267,0.007298452054138038,0.782083956243342,0.7946944643597861,0.006305254058222021,0.8110202909880542,0.8229582698534395,0.00596898943269264,0.6579227980379612,0.2909711448960596,0.6646330834931149,0.35600372323921814,0.66138665281745,0.2389699038163202,0.6724700761697497,0.11405522804840211,0.6499189627228525,0.7552674230145867,0.7776337115072933,0.6704264099037139,0.7911966987620358,0.8162310866574966,0.6691377921031426,0.8009669621273167,0.8319097502014504,0.6542319749216301,0.7931034482758621,0.8272727272727273
baseline,0,251,251,16049,0.367,0.653,0.778,0.807,0.15047936288239985,0.03115723553514745,0.35994883106525133,0.37486447451175,0.007457821723249325,0.6457248999422239,0.6604514221364789,0.0073632610971274826,0.7712446515319307,0.7841087383626038,0.006432043415336541,0.8007236748582037,0.8129371489052349,0.006106737023515607,0.6591006423982869,0.29098386192286124,0.653071941186767,0.35597233472490497,0.6545881126173096,0.23901800735248302,0.6349726775956284,0.11402579599975077,0.6416089680184636,0.7444774151005605,0.7682162875041213,0.6437827405569341,0.7684036393713813,0.8001102839812517,0.6610305958132046,0.7938808373590982,0.8244766505636071,0.659326832337213,0.7886127713117332,0.8172381251966027
baseline,0,389,389,16264,0.377,0.66,0.78,0.811,0.1431186605582899,0.0281148926345616,0.36954924011718643,0.3844439386705884,0.0074473492767009875,0.652605982498022,0.6671660024959799,0.007280009998978931,0.7736969711034688,0.7864265058794889,0.006364767388010062,0.8047166355062582,0.8167548693552104,0.006019116924476098,0.658284023668639,0.29094933595671424,0.6602763385146805,0.3560009837678308,0.6601492153331618,0.23899409739301525,0.662533692722372,0.11405558288243975,0.6532742802910472,0.7573552673204682,0.7845618475166086,0.6653439153439153,0.783068783068783,0.8111111111111111,0.6612012987012987,0.7884740259740259,0.8193181818181818,0.6576035409421436,0.7831172937085046,0.8201074928865002
baseline,0,503,503,16198,0.377,0.66,0.782,0.812,0.14518042029019226,0.031511287548474765,0.36928089916551876,0.3842039145608418,0.007461507697661518,0.6523152371019667,0.6669077332053099,0.007296248051671617,0.7757723447880014,0.7884844987056419,0.006356076958820234,0.8054858881221887,0.8175297078332735,0.006021909855542407,0.6647570549543815,0.29096184714162243,0.6514652332235131,0.3560316088405976,0.6600361663652803,0.23898012100259292,0.6713589604764483,0.11402642301518706,0.654746835443038,0.7512658227848101,0.7721518987341772,0.657930657930658,0.7862407862407862,0.8135408135408135,0.6558378899967835,0.7901254422643937,0.8234158893534899,0.6740576496674058,0.792841305036427,0.8254672157111181
baseline,0,617,617,16303,0.373,0.657,0.776,0.805,0.15077674084254913,0.030383876984935766,0.36578927310038195,0.380636178165423,0.007423452532520525,0.6499805248180801,0.6645500339383132,0.007284754560116569,0.7695275149247994,0.7823267448234524,0.006399614949326504,0.7988518376553849,0.8110148823353213,0.006081522339968171,0.6591483979763912,0.2909893884561124,0.6655754651964163,0.35600809666932465,0.6457905544147844,0.23897442188554255,0.650887573964497,0.11402809298902043,0.6428344455036543,0.7356212265649825,0.7591356847791547,0.6571350013747594,0.7792136376134177,0.8113830079736046,0.6629372833280807,0.7880554680113457,0.8165773715726442,0.6605735896627797,0.7882130475890324,0.8200441222817523
baseline,0,743,743,16257,0.374,0.656,0.78,0.807,0.14169741069038205,0.029374884001045747,0.36640155991656853,0.38127447672842285,0.00743645840592716,0.6491193676530063,0.6637180687561892,0.007299350551591477,0.7739727601659986,0.7866993270647139,0.0063632834493576595,0.8011474070156464,0.8132734357530329,0.006063014368693276,0.646723044397463,0.2909515900842714,0.6568762957843814,0.3560312480777511,0.6550836550836551,0.23897398043919543,0.6828478964401294,0.11404318139878206,0.6519249125039771,0.7518294622971683,0.7753738466433344,0.656040717921243,0.7792660058933834,0.8020358960621484,0.6606573069559668,0.7937141033822591,0.8221123165283982,0.6530677802762609,0.7838098297462255,0.8159331834243495
baseline,0,863,863,16199,0.375,0.658,0.78,0.81,0.1465412814614658,0.030160578095859647,0.36722933995010804,0.3821356109483813,0.0074531354991366205,0.6507236427292946,0.6653320298756884,0.007304193573196893,0.7737904817554317,0.7865433303087435,0.0063764242766558565,0.803873588690293,0.8159559602204365,0.006041185765071733,0.657967324421812,0.29094388542502625,0.6571874458123808,0.3560096302240879,0.6670971074380165,0.23902710043829867,0.642122360584732,0.1140193839125872,0.6556122448979592,0.7566964285714286,0.779655612244898,0.6580962800875274,0.7828227571115973,0.8090809628008753,0.6570385653070941,0.7893985081733058,0.8198698619266783,0.6625885383129427,0.7823567289117836,0.8216355441081777
baseline,0,971,971,16260,0.376,0.659,0.778,0.808,0.1424918232649565,0.032034898397031775,0.3683545371005304,0.38324166634503193,0.0074435646222507645,0.6512231314628244,0.6657991395853639,0.007288004061269726,0.7715294003808545,0.7843048374538278,0.006387718536486675,0.801495068323161,0.8136117585903526,0.006058345133595822,0.6472204607905305,0.29095940959409594,0.6648816721368112,0.3560270602706027,0.6649511065362841,0.23899138991389915,0.6542610571736786,0.11402214022140221,0.663375796178344,0.7547770700636943,0.7754777070063694,0.6521855725395549,0.7723250201126307,0.804237060874229,0.6590290017625381,0.7912193558724563,0.8210222720717834,0.6603174603174603,0.7815873015873016,0.8171428571428572
baseline,0,1087,1087,16012,0.369,0.653,0.777,0.804,0.149299810350907,0.029427454338028236,0.3611584515006896,0.3761016872359473,0.007471617867628844,0.6458522058977537,0.6605943813362259,0.0073710877192361135,0.7701505729973407,0.7830517014307482,0.006450564216703758,0.7978008403069851,0.8100972797643323,0.006148219728673632,0.6516419832582099,0.2909692730452161,0.6580701754385965,0.3559830127404447,0.655604912464071,0.23900824381713714,0.6374589266155531,0.1140394703972021,0.6319821257580593,0.7302904564315352,0.7555059048834982,0.6493834080717489,0.7757847533632287,0.8018497757847534,0.6671518680252305,0.7965388969755782,0.8238719068413392,0.65153452685422,0.784846547314578,0.8158567774936062
