agent_size,run_id,seeds,recid_3,recid_6,recid_9,status,elapsed_sec,error
100,0,"1097188475,576104173,108394216,1704289854,834446252,1733161181,1264610064,393400385,1932776497,741732599,459327850,801706966,1759162388,1181807041,214279861,795457329,1876604467,89629113,1716241661,1824306212",0.6609499999999999,0.7805,0.80525,ok,20.9,
100,1,"1829197756,345030787,936596911,463201679,1206906014,61239533,1576716195,1284884510,690173683,126798584,898355183,278489527,1473535736,508418195,71608984,1494048999,1980354123,1339296816,267595752,290583112",0.6527499999999999,0.7769999999999999,0.8059000000000001,ok,20.12,
100,2,"1891444336,1989321911,258027584,59574048,1480398850,692884873,1552711767,102336937,1810922502,387356764,286795665,1041026594,463458661,817713549,1022972269,402585645,930784537,559279752,920697629,1848212735",0.66205,0.7696000000000001,0.7926000000000001,ok,20.71,
100,3,"1185741594,1972054015,168838021,587400456,1679632222,623563995,111508840,1654836782,1668927833,1426196638,521716228,234210026,1040731003,305280621,1924922912,318008105,1069111839,1612850395,1245477057,1199729569",0.6713500000000001,0.78315,0.80815,ok,20.13,
100,4,"1207172504,827801008,1861731837,1524778201,1016042755,684172255,1429293813,1910586131,1677584033,1247235266,375671387,174854325,1319947487,924350828,609760683,1594520426,1230074915,1915838572,1603220284,1748436319",0.6675500000000001,0.7781000000000001,0.8052499999999998,ok,21.09,
100,5,"469643429,1638485380,1182154934,390171020,1449416035,79835512,756839520,1014205622,1518200950,952106911,36108082,1542909602,1962503323,1170489163,1409030612,1811158897,256059578,1894399740,1416169914,1956897712",0.66535,0.7759500000000001,0.7996,ok,20.31,
100,6,"972138635,4154198,1687113864,721003720,1256856191,151739156,1140446831,1992316056,478120031,773470410,1579037316,848123556,1262376448,1212774741,1991844251,966846667,97923312,1253233507,521079832,36702123",0.6930499999999999,0.80955,0.82645,ok,20.76,
100,7,"998694633,273235322,379417506,1148367073,1066562392,1101843442,830226771,1988739752,1917771613,883761250,1382638326,1774878720,622292218,38660024,1214037726,537199864,383949574,1850124703,1493791367,1862199996",0.6861499999999999,0.79475,0.819,ok,20.54,
100,8,"1191875850,341267641,767509834,511902848,608850213,646162935,1946731898,523772788,1532417242,397396221,578822563,222357947,1013626753,1721355088,426790738,889235536,562412265,1625390395,321303433,674355199",0.6511000000000001,0.7668000000000001,0.7911,ok,20.37,
100,9,"304932152,1933337971,231178793,287713870,1565825616,1098037534,1466169429,1073044901,1973544068,679714991,58462875,1854371866,1861920540,1410268480,656111218,1348712712,1652964531,606893612,1901435077,1943789254",0.65405,0.7793,0.8009000000000001,ok,20.32,
250,0,"122798606,8682064,40843136,1259730044,1645799803,11947189,154610551,145166115,1025766643,1243367953,1897752588,280621466,1074962508,1528320366,876011999,1429420191,1310689888,1307193514,905421345,622470961",0.67075,0.7867500000000002,0.8109999999999999,ok,73.9,
